provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
Detection,,2024-08-26,,,False,2024-08-26T00:59:10.870000,,,,,,2024-08-26_47,,AM,,,0.5173037648200989,2024-08-26T00:59:10.870000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:00:03.970000,,,,,,2024-08-26_48,,AM,,,0.18190109729766846,2024-08-26T01:00:03.970000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:00:37.220000,,,,,,2024-08-26_49,,AM,,,0.3205116391181946,2024-08-26T01:00:37.220000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:01:33.880000,,,,,,2024-08-26_50,,AM,,,0.5462722778320312,2024-08-26T01:01:33.880000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:06:13.760000,,,,,,2024-08-26_51,,AM,,,0.13005797564983368,2024-08-26T01:06:13.760000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:07:08,,,,,,2024-08-26_52,,AM,,,0.12205609679222107,2024-08-26T01:07:08,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:07:44.090000,,,,,,2024-08-26_53,,AM,,,0.13163097202777863,2024-08-26T01:07:44.090000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:09:32.960000,,,,,,2024-08-26_54,,AM,,,0.13092438876628876,2024-08-26T01:09:32.960000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:09:35.010000,,,,,,2024-08-26_55,,AM,,,0.13948145508766174,2024-08-26T01:09:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:10:31.430000,,,,,,2024-08-26_56,,AM,,,0.2412891387939453,2024-08-26T01:10:31.430000,,,True,R1F0E,
