depth,plot_path,s_detected,provider,network,p_detected,epi_distance,code,s_confidence,date,time,s_predicted,catalogued,mag_type,s_error,mag,detected,lat,event_id,p_predicted,p_confidence,long,unique_id,p_error
,,,Detection,AM,2024-08-26T00:30:07.910000,,RBE3F,,2024-08-26,2024-08-26T00:30:07.910000,,False,,,,True,,,,0.11769052594900131,,2024-08-26_49,
,,,Detection,AM,2024-08-26T00:30:11.990000,,RBE3F,,2024-08-26,2024-08-26T00:30:11.990000,,False,,,,True,,,,0.24336092174053192,,2024-08-26_50,
,,,Detection,AM,2024-08-26T00:31:06.020000,,RBE3F,,2024-08-26,2024-08-26T00:31:06.020000,,False,,,,True,,,,0.7903931140899658,,2024-08-26_51,
,,,Detection,AM,2024-08-26T00:31:36.010000,,RBE3F,,2024-08-26,2024-08-26T00:31:36.010000,,False,,,,True,,,,0.5355509519577026,,2024-08-26_52,
,,,Detection,AM,2024-08-26T00:31:51.140000,,RBE3F,,2024-08-26,2024-08-26T00:31:51.140000,,False,,,,True,,,,0.22542531788349152,,2024-08-26_53,
,,,Detection,AM,2024-08-26T00:32:37.930000,,RBE3F,,2024-08-26,2024-08-26T00:32:37.930000,,False,,,,True,,,,0.130539208650589,,2024-08-26_54,
,,,Detection,AM,2024-08-26T00:34:36.990000,,RBE3F,,2024-08-26,2024-08-26T00:34:36.990000,,False,,,,True,,,,0.8429787755012512,,2024-08-26_55,
,,,Detection,AM,2024-08-26T00:35:04.990000,,RBE3F,,2024-08-26,2024-08-26T00:35:04.990000,,False,,,,True,,,,0.25708532333374023,,2024-08-26_56,
,,,Detection,AM,2024-08-26T00:35:05.970000,,RBE3F,,2024-08-26,2024-08-26T00:35:05.970000,,False,,,,True,,,,0.13705869019031525,,2024-08-26_57,
,,,Detection,AM,2024-08-26T00:36:51.960000,,RBE3F,,2024-08-26,2024-08-26T00:36:51.960000,,False,,,,True,,,,0.11091158539056778,,2024-08-26_58,
,,,Detection,AM,2024-08-26T00:36:52.920000,,RBE3F,,2024-08-26,2024-08-26T00:36:52.920000,,False,,,,True,,,,0.1496250033378601,,2024-08-26_59,
,,,Detection,AM,2024-08-26T00:37:18.150000,,RBE3F,,2024-08-26,2024-08-26T00:37:18.150000,,False,,,,True,,,,0.5285517573356628,,2024-08-26_60,
,,,Detection,AM,2024-08-26T00:38:38.010000,,RBE3F,,2024-08-26,2024-08-26T00:38:38.010000,,False,,,,True,,,,0.8736686110496521,,2024-08-26_61,
,,,Detection,AM,2024-08-26T00:40:07.960000,,RBE3F,,2024-08-26,2024-08-26T00:40:07.960000,,False,,,,True,,,,0.5197882652282715,,2024-08-26_62,
,,,Detection,AM,2024-08-26T00:41:13.450000,,RBE3F,,2024-08-26,2024-08-26T00:41:13.450000,,False,,,,True,,,,0.2720507085323334,,2024-08-26_63,
,,,Detection,AM,2024-08-26T00:42:20.010000,,RBE3F,,2024-08-26,2024-08-26T00:42:20.010000,,False,,,,True,,,,0.28717443346977234,,2024-08-26_64,
,,,Detection,AM,2024-08-26T00:42:21.020000,,RBE3F,,2024-08-26,2024-08-26T00:42:21.020000,,False,,,,True,,,,0.44349759817123413,,2024-08-26_65,
,,,Detection,AM,2024-08-26T00:43:16.430000,,RBE3F,,2024-08-26,2024-08-26T00:43:16.430000,,False,,,,True,,,,0.7067222595214844,,2024-08-26_66,
,,,Detection,AM,2024-08-26T00:44:22,,RBE3F,,2024-08-26,2024-08-26T00:44:22,,False,,,,True,,,,0.837915301322937,,2024-08-26_67,
,,,Detection,AM,2024-08-26T00:46:37.780000,,RBE3F,,2024-08-26,2024-08-26T00:46:37.780000,,False,,,,True,,,,0.15679748356342316,,2024-08-26_68,
,,,Detection,AM,2024-08-26T00:47:03.960000,,RBE3F,,2024-08-26,2024-08-26T00:47:03.960000,,False,,,,True,,,,0.6085917949676514,,2024-08-26_69,
,,,Detection,AM,2024-08-26T00:47:48.720000,,RBE3F,,2024-08-26,2024-08-26T00:47:48.720000,,False,,,,True,,,,0.570180356502533,,2024-08-26_70,
,,,Detection,AM,2024-08-26T00:47:50.760000,,RBE3F,,2024-08-26,2024-08-26T00:47:50.760000,,False,,,,True,,,,0.18540313839912415,,2024-08-26_71,
,,,Detection,AM,2024-08-26T00:49:36.010000,,RBE3F,,2024-08-26,2024-08-26T00:49:36.010000,,False,,,,True,,,,0.8035626411437988,,2024-08-26_72,
,,,Detection,AM,2024-08-26T00:50:39,,RBE3F,,2024-08-26,2024-08-26T00:50:39,,False,,,,True,,,,0.9178030490875244,,2024-08-26_73,
,,,Detection,AM,2024-08-26T00:51:53.930000,,RBE3F,,2024-08-26,2024-08-26T00:51:53.930000,,False,,,,True,,,,0.7889845371246338,,2024-08-26_74,
