network,provider,long,plot_path,p_error,s_detected,detected,s_predicted,catalogued,event_id,depth,date,mag,p_predicted,epi_distance,unique_id,p_detected,code,time,s_error,mag_type,lat,p_confidence,s_confidence
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_45,2024-08-23T02:46:19.510000,R50D6,2024-08-23T02:46:19.510000,,,,0.6843689680099487,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_46,2024-08-23T02:48:51.010000,R50D6,2024-08-23T02:48:51.010000,,,,0.2468079477548599,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_47,2024-08-23T02:49:22.920000,R50D6,2024-08-23T02:49:22.920000,,,,0.2497825771570205,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_48,2024-08-23T02:55:38.150000,R50D6,2024-08-23T02:55:38.150000,,,,0.24483522772789,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_49,2024-08-23T02:57:58.470000,R50D6,2024-08-23T02:57:58.470000,,,,0.4382400214672088,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_50,2024-08-23T03:09:13.050000,R50D6,2024-08-23T03:09:13.050000,,,,0.3329286873340606,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_51,2024-08-23T03:12:54,R50D6,2024-08-23T03:12:54,,,,0.2123234421014785,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_52,2024-08-23T03:28:06.130000,R50D6,2024-08-23T03:28:06.130000,,,,0.4411213994026184,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_53,2024-08-23T03:28:06.880000,R50D6,2024-08-23T03:28:06.880000,,,,0.2099573463201522,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_54,2024-08-23T03:29:35.980000,R50D6,2024-08-23T03:29:35.980000,,,,0.2440508306026458,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_55,2024-08-23T03:30:38.990000,R50D6,2024-08-23T03:30:38.990000,,,,0.2011410742998123,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_56,2024-08-23T03:40:23.150000,R50D6,2024-08-23T03:40:23.150000,,,,0.4785265028476715,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_57,2024-08-23T03:47:08.010000,R50D6,2024-08-23T03:47:08.010000,,,,0.5964372158050537,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_58,2024-08-23T03:58:10.030000,R50D6,2024-08-23T03:58:10.030000,,,,0.5290547609329224,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_59,,R50D6,2024-08-23T03:58:10.800000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_60,2024-08-23T04:00:21.940000,R50D6,2024-08-23T04:00:21.940000,,,,0.3178092539310455,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_61,2024-08-23T04:19:20.970000,R50D6,2024-08-23T04:19:20.970000,,,,0.251569539308548,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_62,2024-08-23T04:19:52.030000,R50D6,2024-08-23T04:19:52.030000,,,,0.3936178088188171,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_63,2024-08-23T04:20:07.960000,R50D6,2024-08-23T04:20:07.960000,,,,0.2099191099405288,
