provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000210,2024-06-15T20:34:34.756228,39.2844,2024-06-15T20:29:58.288792,,,,R50D6,,1.3,2857.553529618206,2024-06-15_133,2024-06-15T20:24:23,,2024-06-15,AM,,29.1503,7.3,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000206,2024-06-15T20:26:35.856536,36.9306,2024-06-15T20:21:50.314745,,,,R50D6,,1.5,2984.061051252969,2024-06-15_134,2024-06-15T20:16:04,,2024-06-15,AM,,27.9014,7.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000243,2024-06-15T20:34:54.735926,17.65,2024-06-15T20:24:54.393020,,,,R50D6,,3.2,8766.017701037581,2024-06-15_135,2024-06-15T20:12:49,,2024-06-15,AM,,-97.2,70.3,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000205,2024-06-15T20:21:58.825314,36.7428,2024-06-15T20:17:19.203283,,,,R50D6,,1.4,3073.588485846288,2024-06-15_136,2024-06-15T20:11:25,,2024-06-15,AM,,29.2047,7.1,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000207,2024-06-15T20:14:30.758997,37.9956,2024-06-15T20:09:22.699998,,,,R50D6,,1.6,3460.6505178422653,2024-06-15_137,2024-06-15T20:03:02,,2024-06-15,AM,,37.4553,7.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000199,2024-06-15T19:58:29.021884,45.6982,2024-06-15T19:56:12.040268,,,,R50D6,,0.6,1343.7365903912892,2024-06-15_138,2024-06-15T19:53:18.360000,,2024-06-15,AM,,11.0117,25.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000244,2024-06-15T20:15:16.314250,18.67,2024-06-15T20:05:03.040812,,,,R50D6,,3.2,9045.889222462887,2024-06-15_139,2024-06-15T19:52:44,,2024-06-15,AM,,-103.29,9.2,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000245,2024-06-15T20:08:04.860782,19.43,2024-06-15T19:57:52.295886,,,,R50D6,,3.0,9029.85489734776,2024-06-15_140,2024-06-15T19:45:34,,2024-06-15,AM,,-104.18,38.8,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000246,2024-06-15T20:06:20.484278,19.29,2024-06-15T19:56:07.614950,,,,R50D6,,3.5,9036.671399608904,2024-06-15_141,2024-06-15T19:43:49,,2024-06-15,AM,,-104.08,50.9,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000247,2024-06-15T20:02:58.568716,17.93,2024-06-15T19:52:56.366022,,,,R50D6,,3.5,8805.706860451977,2024-06-15_142,2024-06-15T19:40:49,,2024-06-15,AM,,-98.25,44.9,False,m,,True
