p_detected,plot_path,epi_distance,time,depth,detected,p_predicted,catalogued,mag_type,network,date,s_confidence,long,mag,s_error,p_confidence,provider,event_id,s_detected,lat,unique_id,p_error,s_predicted,code
2024-07-01T05:10:37.970000,,,2024-07-01T05:10:37.970000,,True,,False,,AM,2024-07-01,,,,,0.46631762385368347,Detection,,,,2024-07-01_76,,,R50D6
2024-07-01T05:10:47.150000,,,2024-07-01T05:10:47.150000,,True,,False,,AM,2024-07-01,,,,,0.3280434310436249,Detection,,,,2024-07-01_77,,,R50D6
2024-07-01T05:11:51.130000,,,2024-07-01T05:11:51.130000,,True,,False,,AM,2024-07-01,,,,,0.2372901439666748,Detection,,,,2024-07-01_78,,,R50D6
2024-07-01T05:11:52.110000,,,2024-07-01T05:11:52.110000,,True,,False,,AM,2024-07-01,,,,,0.42677849531173706,Detection,,,,2024-07-01_79,,,R50D6
2024-07-01T05:16:26.270000,,,2024-07-01T05:16:26.270000,,True,,False,,AM,2024-07-01,,,,,0.65202397108078,Detection,,,,2024-07-01_80,,,R50D6
2024-07-01T05:27:40.960000,,,2024-07-01T05:27:40.960000,,True,,False,,AM,2024-07-01,,,,,0.7876696586608887,Detection,,,,2024-07-01_81,,,R50D6
,,,2024-07-01T05:27:41.560000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_82,,,R50D6
2024-07-01T05:28:20.960000,,,2024-07-01T05:28:20.960000,,True,,False,,AM,2024-07-01,,,,,0.2577889561653137,Detection,,,,2024-07-01_83,,,R50D6
2024-07-01T05:30:06,,,2024-07-01T05:30:06,,True,,False,,AM,2024-07-01,,,,,0.3102029263973236,Detection,,,,2024-07-01_84,,,R50D6
2024-07-01T05:32:20.030000,,,2024-07-01T05:32:20.030000,,True,,False,,AM,2024-07-01,,,,,0.21212682127952576,Detection,,,,2024-07-01_85,,,R50D6
2024-07-01T05:33:36.990000,,,2024-07-01T05:33:36.990000,,True,,False,,AM,2024-07-01,,,,,0.4352668821811676,Detection,,,,2024-07-01_86,,,R50D6
2024-07-01T05:33:37.990000,,,2024-07-01T05:33:37.990000,,True,,False,,AM,2024-07-01,,,,,0.40722763538360596,Detection,,,,2024-07-01_87,,,R50D6
2024-07-01T05:35:22.120000,,,2024-07-01T05:35:22.120000,,True,,False,,AM,2024-07-01,,,,,0.5763738751411438,Detection,,,,2024-07-01_88,,,R50D6
