detected,plot_path,depth,mag,time,s_detected,unique_id,p_detected,catalogued,date,p_confidence,p_predicted,event_id,mag_type,code,network,s_confidence,s_predicted,long,s_error,lat,provider,epi_distance,p_error
True,,,,2024-07-02T03:46:06.120000,,2024-07-02_66,2024-07-02T03:46:06.120000,False,2024-07-02,0.5505307912826538,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:47:51.100000,,2024-07-02_67,2024-07-02T03:47:51.100000,False,2024-07-02,0.478683203458786,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:49:08.910000,,2024-07-02_68,2024-07-02T03:49:08.910000,False,2024-07-02,0.3096268773078918,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:49:09.990000,,2024-07-02_69,2024-07-02T03:49:09.990000,False,2024-07-02,0.5338224172592163,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:54:06.660000,,2024-07-02_70,2024-07-02T03:54:06.660000,False,2024-07-02,0.2107054740190506,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:59:13.380000,,2024-07-02_71,2024-07-02T03:59:13.380000,False,2024-07-02,0.2644323706626892,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:08:16.290000,,2024-07-02_72,2024-07-02T04:08:16.290000,False,2024-07-02,0.22540844976902,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:08:20.820000,,2024-07-02_73,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:10:21.220000,,2024-07-02_74,2024-07-02T04:10:21.220000,False,2024-07-02,0.4372085332870483,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:15:37.890000,,2024-07-02_75,2024-07-02T04:15:37.890000,False,2024-07-02,0.6902045607566833,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:17:53.090000,,2024-07-02_76,2024-07-02T04:17:53.090000,False,2024-07-02,0.7193967700004578,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:20:54.870000,,2024-07-02_77,2024-07-02T04:20:54.870000,False,2024-07-02,0.3297474086284637,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:25:54.390000,,2024-07-02_78,2024-07-02T04:25:54.390000,False,2024-07-02,0.6834668517112732,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:30:56.040000,,2024-07-02_79,2024-07-02T04:30:56.040000,False,2024-07-02,0.2139765918254852,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:45:13.640000,,2024-07-02_80,2024-07-02T04:45:13.640000,False,2024-07-02,0.8377528786659241,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:45:13.950000,,2024-07-02_81,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:55:39.990000,,2024-07-02_82,2024-07-02T04:55:39.990000,False,2024-07-02,0.3025429248809814,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T04:58:35.010000,,2024-07-02_83,2024-07-02T04:58:35.010000,False,2024-07-02,0.5592109560966492,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:13:07.990000,,2024-07-02_84,2024-07-02T05:13:07.990000,False,2024-07-02,0.3462421596050262,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:14:35.960000,,2024-07-02_85,2024-07-02T05:14:35.960000,False,2024-07-02,0.2153880894184112,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:14:51.900000,,2024-07-02_86,2024-07-02T05:14:51.900000,False,2024-07-02,0.6833687424659729,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:16:05,,2024-07-02_87,2024-07-02T05:16:05,False,2024-07-02,0.2958018183708191,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:16:06,,2024-07-02_88,2024-07-02T05:16:06,False,2024-07-02,0.231628730893135,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:19:28.030000,,2024-07-02_89,2024-07-02T05:19:28.030000,False,2024-07-02,0.6260112524032593,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:20:29.690000,,2024-07-02_90,2024-07-02T05:20:29.690000,False,2024-07-02,0.2271422296762466,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:21:13.510000,,2024-07-02_91,2024-07-02T05:21:13.510000,False,2024-07-02,0.4870806336402893,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:22:25.940000,,2024-07-02_92,2024-07-02T05:22:25.940000,False,2024-07-02,0.8046543002128601,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:22:27.470000,,2024-07-02_93,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:22:46.840000,,2024-07-02_94,2024-07-02T05:22:46.840000,False,2024-07-02,0.203774407505989,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:23:42.300000,,2024-07-02_95,2024-07-02T05:23:42.300000,False,2024-07-02,0.4227811396121979,,,,R50D6,AM,,,,,,Detection,,
