long,detected,unique_id,epi_distance,event_id,s_detected,provider,network,s_confidence,s_predicted,p_detected,p_confidence,lat,date,plot_path,p_error,depth,time,p_predicted,mag,s_error,catalogued,code,mag_type
,True,2024-08-23_60,,,,Detection,AM,,,2024-08-23T02:27:35.970000,0.10197332501411438,,2024-08-23,,,,2024-08-23T02:27:35.970000,,,,False,R50D6,
,True,2024-08-23_61,,,,Detection,AM,,,2024-08-23T02:27:43.870000,0.24454709887504578,,2024-08-23,,,,2024-08-23T02:27:43.870000,,,,False,R50D6,
,True,2024-08-23_62,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T02:27:46.680000,,,,False,R50D6,
,True,2024-08-23_63,,,,Detection,AM,,,2024-08-23T02:37:52.760000,0.36395224928855896,,2024-08-23,,,,2024-08-23T02:37:52.760000,,,,False,R50D6,
,True,2024-08-23_64,,,,Detection,AM,,,2024-08-23T02:42:44.970000,0.6905864477157593,,2024-08-23,,,,2024-08-23T02:42:44.970000,,,,False,R50D6,
,True,2024-08-23_65,,,,Detection,AM,,,2024-08-23T02:43:10.140000,0.6037183403968811,,2024-08-23,,,,2024-08-23T02:43:10.140000,,,,False,R50D6,
,True,2024-08-23_66,,,,Detection,AM,,,2024-08-23T02:43:41.810000,0.11932738125324249,,2024-08-23,,,,2024-08-23T02:43:41.810000,,,,False,R50D6,
,True,2024-08-23_67,,,,Detection,AM,,,2024-08-23T02:43:44.590000,0.33326083421707153,,2024-08-23,,,,2024-08-23T02:43:44.590000,,,,False,R50D6,
,True,2024-08-23_68,,,,Detection,AM,,,2024-08-23T02:44:23.900000,0.136650949716568,,2024-08-23,,,,2024-08-23T02:44:23.900000,,,,False,R50D6,
,True,2024-08-23_69,,,,Detection,AM,,,2024-08-23T02:46:19.510000,0.6843689680099487,,2024-08-23,,,,2024-08-23T02:46:19.510000,,,,False,R50D6,
,True,2024-08-23_70,,,,Detection,AM,,,2024-08-23T02:48:51.010000,0.24680794775485992,,2024-08-23,,,,2024-08-23T02:48:51.010000,,,,False,R50D6,
,True,2024-08-23_71,,,,Detection,AM,,,2024-08-23T02:49:22.920000,0.24978257715702057,,2024-08-23,,,,2024-08-23T02:49:22.920000,,,,False,R50D6,
,True,2024-08-23_72,,,,Detection,AM,,,2024-08-23T02:55:38.150000,0.24483522772789001,,2024-08-23,,,,2024-08-23T02:55:38.150000,,,,False,R50D6,
,True,2024-08-23_73,,,,Detection,AM,,,2024-08-23T02:57:58.470000,0.43824002146720886,,2024-08-23,,,,2024-08-23T02:57:58.470000,,,,False,R50D6,
,True,2024-08-23_74,,,,Detection,AM,,,2024-08-23T03:09:13.050000,0.33292868733406067,,2024-08-23,,,,2024-08-23T03:09:13.050000,,,,False,R50D6,
,True,2024-08-23_75,,,,Detection,AM,,,2024-08-23T03:12:54,0.21232344210147858,,2024-08-23,,,,2024-08-23T03:12:54,,,,False,R50D6,
,True,2024-08-23_76,,,,Detection,AM,,,2024-08-23T03:17:49.160000,0.10844924300909042,,2024-08-23,,,,2024-08-23T03:17:49.160000,,,,False,R50D6,
,True,2024-08-23_77,,,,Detection,AM,,,2024-08-23T03:28:06.130000,0.4411213994026184,,2024-08-23,,,,2024-08-23T03:28:06.130000,,,,False,R50D6,
,True,2024-08-23_78,,,,Detection,AM,,,2024-08-23T03:28:06.880000,0.20995734632015228,,2024-08-23,,,,2024-08-23T03:28:06.880000,,,,False,R50D6,
,True,2024-08-23_79,,,,Detection,AM,,,2024-08-23T03:29:35.980000,0.24405083060264587,,2024-08-23,,,,2024-08-23T03:29:35.980000,,,,False,R50D6,
,True,2024-08-23_80,,,,Detection,AM,,,2024-08-23T03:30:38.990000,0.20114107429981232,,2024-08-23,,,,2024-08-23T03:30:38.990000,,,,False,R50D6,
,True,2024-08-23_81,,,,Detection,AM,,,2024-08-23T03:40:23.150000,0.4785265028476715,,2024-08-23,,,,2024-08-23T03:40:23.150000,,,,False,R50D6,
,True,2024-08-23_82,,,,Detection,AM,,,2024-08-23T03:40:54.750000,0.1689382791519165,,2024-08-23,,,,2024-08-23T03:40:54.750000,,,,False,R50D6,
,True,2024-08-23_83,,,,Detection,AM,,,2024-08-23T03:47:08.010000,0.5964372158050537,,2024-08-23,,,,2024-08-23T03:47:08.010000,,,,False,R50D6,
,True,2024-08-23_84,,,,Detection,AM,,,2024-08-23T03:47:09,0.1400892287492752,,2024-08-23,,,,2024-08-23T03:47:09,,,,False,R50D6,
,True,2024-08-23_85,,,,Detection,AM,,,2024-08-23T03:50:51.020000,0.10865847021341324,,2024-08-23,,,,2024-08-23T03:50:51.020000,,,,False,R50D6,
,True,2024-08-23_86,,,,Detection,AM,,,2024-08-23T03:55:52.090000,0.19307605922222137,,2024-08-23,,,,2024-08-23T03:55:52.090000,,,,False,R50D6,
