event_id,long,p_error,mag_type,date,p_detected,p_confidence,catalogued,lat,depth,s_confidence,detected,network,s_predicted,provider,mag,p_predicted,plot_path,code,epi_distance,time,s_error,s_detected,unique_id
,,,,2024-08-23,2024-08-23T01:39:20.010000,0.4986526370048523,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:39:20.010000,,,2024-08-23_30
,,,,2024-08-23,2024-08-23T01:42:54.100000,0.3953892588615417,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:42:54.100000,,,2024-08-23_31
,,,,2024-08-23,2024-08-23T01:43:24.110000,0.443050354719162,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:43:24.110000,,,2024-08-23_32
,,,,2024-08-23,2024-08-23T01:57:30.400000,0.7367016077041626,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:57:30.400000,,,2024-08-23_33
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:57:34.270000,,,2024-08-23_34
,,,,2024-08-23,2024-08-23T02:11:54.090000,0.3254780769348144,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:11:54.090000,,,2024-08-23_35
,,,,2024-08-23,2024-08-23T02:16:35.020000,0.7881516814231873,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:16:35.020000,,,2024-08-23_36
,,,,2024-08-23,2024-08-23T02:19:35.980000,0.357687771320343,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:19:35.980000,,,2024-08-23_37
,,,,2024-08-23,2024-08-23T02:24:06,0.5255337357521057,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:24:06,,,2024-08-23_38
,,,,2024-08-23,2024-08-23T02:27:43.870000,0.2445470988750457,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:27:43.870000,,,2024-08-23_39
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:27:46.680000,,,2024-08-23_40
,,,,2024-08-23,2024-08-23T02:37:52.760000,0.3639522492885589,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:37:52.760000,,,2024-08-23_41
,,,,2024-08-23,2024-08-23T02:42:44.970000,0.6905864477157593,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:42:44.970000,,,2024-08-23_42
,,,,2024-08-23,2024-08-23T02:43:10.140000,0.6037183403968811,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:43:10.140000,,,2024-08-23_43
,,,,2024-08-23,2024-08-23T02:43:44.590000,0.3332608342170715,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:43:44.590000,,,2024-08-23_44
,,,,2024-08-23,2024-08-23T02:46:19.510000,0.6843689680099487,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:46:19.510000,,,2024-08-23_45
,,,,2024-08-23,2024-08-23T02:48:51.010000,0.2468079477548599,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:48:51.010000,,,2024-08-23_46
,,,,2024-08-23,2024-08-23T02:49:22.920000,0.2497825771570205,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:49:22.920000,,,2024-08-23_47
,,,,2024-08-23,2024-08-23T02:55:38.150000,0.24483522772789,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:55:38.150000,,,2024-08-23_48
,,,,2024-08-23,2024-08-23T02:57:58.470000,0.4382400214672088,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T02:57:58.470000,,,2024-08-23_49
,,,,2024-08-23,2024-08-23T03:09:13.050000,0.3329286873340606,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:09:13.050000,,,2024-08-23_50
,,,,2024-08-23,2024-08-23T03:12:54,0.2123234421014785,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:12:54,,,2024-08-23_51
,,,,2024-08-23,2024-08-23T03:28:06.130000,0.4411213994026184,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:28:06.130000,,,2024-08-23_52
,,,,2024-08-23,2024-08-23T03:28:06.880000,0.2099573463201522,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:28:06.880000,,,2024-08-23_53
,,,,2024-08-23,2024-08-23T03:29:35.980000,0.2440508306026458,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:29:35.980000,,,2024-08-23_54
,,,,2024-08-23,2024-08-23T03:30:38.990000,0.2011410742998123,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:30:38.990000,,,2024-08-23_55
,,,,2024-08-23,2024-08-23T03:40:23.150000,0.4785265028476715,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:40:23.150000,,,2024-08-23_56
,,,,2024-08-23,2024-08-23T03:47:08.010000,0.5964372158050537,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:47:08.010000,,,2024-08-23_57
,,,,2024-08-23,2024-08-23T03:58:10.030000,0.5290547609329224,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:58:10.030000,,,2024-08-23_58
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T03:58:10.800000,,,2024-08-23_59
,,,,2024-08-23,2024-08-23T04:00:21.940000,0.3178092539310455,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:00:21.940000,,,2024-08-23_60
,,,,2024-08-23,2024-08-23T04:19:20.970000,0.251569539308548,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:19:20.970000,,,2024-08-23_61
,,,,2024-08-23,2024-08-23T04:19:52.030000,0.3936178088188171,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:19:52.030000,,,2024-08-23_62
,,,,2024-08-23,2024-08-23T04:20:07.960000,0.2099191099405288,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:20:07.960000,,,2024-08-23_63
,,,,2024-08-23,2024-08-23T04:23:07.980000,0.4944280087947845,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:23:07.980000,,,2024-08-23_64
,,,,2024-08-23,2024-08-23T04:23:08.990000,0.2195190042257309,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:23:08.990000,,,2024-08-23_65
,,,,2024-08-23,2024-08-23T04:24:52.060000,0.4952103495597839,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:24:52.060000,,,2024-08-23_66
,,,,2024-08-23,2024-08-23T04:25:21.080000,0.7087300419807434,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:25:21.080000,,,2024-08-23_67
,,,,2024-08-23,2024-08-23T04:28:21.960000,0.4522690176963806,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:28:21.960000,,,2024-08-23_68
,,,,2024-08-23,2024-08-23T04:35:39.020000,0.732419490814209,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:35:39.020000,,,2024-08-23_69
,,,,2024-08-23,2024-08-23T04:37:53.040000,0.5152786374092102,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:37:53.040000,,,2024-08-23_70
,,,,2024-08-23,2024-08-23T04:38:11.090000,0.4000152349472046,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:38:11.090000,,,2024-08-23_71
,,,,2024-08-23,2024-08-23T04:40:08.120000,0.7547982931137085,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:40:08.120000,,,2024-08-23_72
,,,,2024-08-23,2024-08-23T04:40:38,0.3040375113487243,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:40:38,,,2024-08-23_73
,,,,2024-08-23,2024-08-23T04:40:43.460000,0.4148608744144439,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:40:43.460000,,,2024-08-23_74
,,,,2024-08-23,2024-08-23T04:46:06.980000,0.4495609700679779,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:46:06.980000,,,2024-08-23_75
,,,,2024-08-23,2024-08-23T04:46:35,0.2538714408874511,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:46:35,,,2024-08-23_76
,,,,2024-08-23,2024-08-23T04:57:05.030000,0.5560817122459412,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:57:05.030000,,,2024-08-23_77
,,,,2024-08-23,2024-08-23T04:58:40.010000,0.8887987732887268,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T04:58:40.010000,,,2024-08-23_78
,,,,2024-08-23,2024-08-23T05:00:37.020000,0.6365383267402649,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:00:37.020000,,,2024-08-23_79
,,,,2024-08-23,2024-08-23T05:05:21.060000,0.5471760034561157,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:05:21.060000,,,2024-08-23_80
,,,,2024-08-23,2024-08-23T05:10:36.990000,0.5975321531295776,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:10:36.990000,,,2024-08-23_81
