event_id,provider,long,epi_distance,s_predicted,p_error,time,mag_type,code,mag,date,s_detected,plot_path,detected,p_predicted,p_confidence,depth,p_detected,network,unique_id,s_confidence,s_error,catalogued,lat
,Detection,,,,,2024-07-01T09:05:37.010000,,R50D6,,2024-07-01,,,True,,0.829012930393219,,2024-07-01T09:05:37.010000,AM,2024-07-01_100,,,False,
,Detection,,,,,2024-07-01T09:09:56.050000,,R50D6,,2024-07-01,,,True,,0.7157464623451233,,2024-07-01T09:09:56.050000,AM,2024-07-01_101,,,False,
,Detection,,,,,2024-07-01T09:20:59.060000,,R50D6,,2024-07-01,,,True,,0.5374022126197815,,2024-07-01T09:20:59.060000,AM,2024-07-01_102,,,False,
,Detection,,,,,2024-07-01T09:23:02.250000,,R50D6,,2024-07-01,,,True,,0.8912968635559082,,2024-07-01T09:23:02.250000,AM,2024-07-01_103,,,False,
,Detection,,,,,2024-07-01T09:25:36,,R50D6,,2024-07-01,,,True,,0.8320502042770386,,2024-07-01T09:25:36,AM,2024-07-01_104,,,False,
,Detection,,,,,2024-07-01T09:27:13.040000,,R50D6,,2024-07-01,,,True,,0.8526356220245361,,2024-07-01T09:27:13.040000,AM,2024-07-01_105,,,False,
,Detection,,,,,2024-07-01T09:28:09.040000,,R50D6,,2024-07-01,,,True,,0.6906071901321411,,2024-07-01T09:28:09.040000,AM,2024-07-01_106,,,False,
,Detection,,,,,2024-07-01T09:32:37.010000,,R50D6,,2024-07-01,,,True,,0.7780055999755859,,2024-07-01T09:32:37.010000,AM,2024-07-01_107,,,False,
,Detection,,,,,2024-07-01T09:33:36,,R50D6,,2024-07-01,,,True,,0.6990906596183777,,2024-07-01T09:33:36,AM,2024-07-01_108,,,False,
,Detection,,,,,2024-07-01T09:34:36.010000,,R50D6,,2024-07-01,,,True,,0.8733599781990051,,2024-07-01T09:34:36.010000,AM,2024-07-01_109,,,False,
,Detection,,,,,2024-07-01T09:37:06.380000,,R50D6,,2024-07-01,,,True,,0.7203290462493896,,2024-07-01T09:37:06.380000,AM,2024-07-01_110,,,False,
,Detection,,,,,2024-07-01T09:49:45.730000,,R50D6,,2024-07-01,,,True,,0.6486066579818726,,2024-07-01T09:49:45.730000,AM,2024-07-01_111,,,False,
,Detection,,,,,2024-07-01T09:50:10.030000,,R50D6,,2024-07-01,,,True,,0.6409724950790405,,2024-07-01T09:50:10.030000,AM,2024-07-01_112,,,False,
,Detection,,,,,2024-07-01T09:50:10.680000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_113,,,False,
,Detection,,,,,2024-07-01T09:54:06.010000,,R50D6,,2024-07-01,,,True,,0.740656852722168,,2024-07-01T09:54:06.010000,AM,2024-07-01_114,,,False,
,Detection,,,,,2024-07-01T09:54:57.700000,,R50D6,,2024-07-01,,,True,,0.7059302926063538,,2024-07-01T09:54:57.700000,AM,2024-07-01_115,,,False,
,Detection,,,,,2024-07-01T10:03:37.800000,,R50D6,,2024-07-01,,,True,,0.6633210778236389,,2024-07-01T10:03:37.800000,AM,2024-07-01_116,,,False,
,Detection,,,,,2024-07-01T10:05:41.280000,,R50D6,,2024-07-01,,,True,,0.6120087504386902,,2024-07-01T10:05:41.280000,AM,2024-07-01_117,,,False,
,Detection,,,,,2024-07-01T10:06:09.810000,,R50D6,,2024-07-01,,,True,,0.7191349267959595,,2024-07-01T10:06:09.810000,AM,2024-07-01_118,,,False,
,Detection,,,,,2024-07-01T10:08:35,,R50D6,,2024-07-01,,,True,,0.6972339153289795,,2024-07-01T10:08:35,AM,2024-07-01_119,,,False,
,Detection,,,,,2024-07-01T10:10:54.960000,,R50D6,,2024-07-01,,,True,,0.7772561311721802,,2024-07-01T10:10:54.960000,AM,2024-07-01_120,,,False,
,Detection,,,,,2024-07-01T10:12:11.880000,,R50D6,,2024-07-01,,,True,,0.8219693899154663,,2024-07-01T10:12:11.880000,AM,2024-07-01_121,,,False,
,Detection,,,,,2024-07-01T10:15:55.850000,,R50D6,,2024-07-01,,,True,,0.6521180272102356,,2024-07-01T10:15:55.850000,AM,2024-07-01_122,,,False,
,Detection,,,,,2024-07-01T10:16:47.530000,,R50D6,,2024-07-01,,,True,,0.6719966530799866,,2024-07-01T10:16:47.530000,AM,2024-07-01_123,,,False,
,Detection,,,,,2024-07-01T10:27:01.210000,,R50D6,,2024-07-01,,,True,,0.6902976036071777,,2024-07-01T10:27:01.210000,AM,2024-07-01_124,,,False,
,Detection,,,,,2024-07-01T10:29:00.760000,,R50D6,,2024-07-01,,,True,,0.8379189968109131,,2024-07-01T10:29:00.760000,AM,2024-07-01_125,,,False,
,Detection,,,,,2024-07-01T10:35:21.110000,,R50D6,,2024-07-01,,,True,,0.6719940900802612,,2024-07-01T10:35:21.110000,AM,2024-07-01_126,,,False,
,Detection,,,,,2024-07-01T10:41:38.090000,,R50D6,,2024-07-01,,,True,,0.5091429948806763,,2024-07-01T10:41:38.090000,AM,2024-07-01_127,,,False,
,Detection,,,,,2024-07-01T10:48:21.070000,,R50D6,,2024-07-01,,,True,,0.5571388602256775,,2024-07-01T10:48:21.070000,AM,2024-07-01_128,,,False,
,Detection,,,,,2024-07-01T10:48:53.090000,,R50D6,,2024-07-01,,,True,,0.7011792063713074,,2024-07-01T10:48:53.090000,AM,2024-07-01_129,,,False,
,Detection,,,,,2024-07-01T10:51:38,,R50D6,,2024-07-01,,,True,,0.857565701007843,,2024-07-01T10:51:38,AM,2024-07-01_130,,,False,
,Detection,,,,,2024-07-01T10:52:35,,R50D6,,2024-07-01,,,True,,0.6432480216026306,,2024-07-01T10:52:35,AM,2024-07-01_131,,,False,
,Detection,,,,,2024-07-01T10:53:52.030000,,R50D6,,2024-07-01,,,True,,0.555719256401062,,2024-07-01T10:53:52.030000,AM,2024-07-01_132,,,False,
,Detection,,,,,2024-07-01T10:54:23.010000,,R50D6,,2024-07-01,,,True,,0.713703989982605,,2024-07-01T10:54:23.010000,AM,2024-07-01_133,,,False,
,Detection,,,,,2024-07-01T10:54:36.010000,,R50D6,,2024-07-01,,,True,,0.765386164188385,,2024-07-01T10:54:36.010000,AM,2024-07-01_134,,,False,
,Detection,,,,,2024-07-01T10:55:58.670000,,R50D6,,2024-07-01,,,True,,0.5121301412582397,,2024-07-01T10:55:58.670000,AM,2024-07-01_135,,,False,
