s_error,s_detected,mag_type,date,p_predicted,long,provider,s_confidence,epi_distance,p_confidence,catalogued,s_predicted,p_detected,unique_id,lat,network,detected,code,time,depth,event_id,plot_path,mag,p_error
,,,2024-07-01,,,Detection,,,0.273873895406723,False,,2024-07-01T06:03:54.340000,2024-07-01_100,,AM,True,R50D6,2024-07-01T06:03:54.340000,,,,,
,,,2024-07-01,,,Detection,,,0.85223788022995,False,,2024-07-01T06:04:55.660000,2024-07-01_101,,AM,True,R50D6,2024-07-01T06:04:55.660000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_102,,AM,True,R50D6,2024-07-01T06:04:56.150000,,,,,
,,,2024-07-01,,,Detection,,,0.7626150846481323,False,,2024-07-01T06:05:06.960000,2024-07-01_103,,AM,True,R50D6,2024-07-01T06:05:06.960000,,,,,
,,,2024-07-01,,,Detection,,,0.7218387722969055,False,,2024-07-01T06:12:19.050000,2024-07-01_104,,AM,True,R50D6,2024-07-01T06:12:19.050000,,,,,
,,,2024-07-01,,,Detection,,,0.8745260834693909,False,,2024-07-01T06:14:38,2024-07-01_105,,AM,True,R50D6,2024-07-01T06:14:38,,,,,
,,,2024-07-01,,,Detection,,,0.5671077370643616,False,,2024-07-01T06:15:50.980000,2024-07-01_106,,AM,True,R50D6,2024-07-01T06:15:50.980000,,,,,
,,,2024-07-01,,,Detection,,,0.3195580840110779,False,,2024-07-01T06:17:35.040000,2024-07-01_107,,AM,True,R50D6,2024-07-01T06:17:35.040000,,,,,
,,,2024-07-01,,,Detection,,,0.8857235312461853,False,,2024-07-01T06:19:23.970000,2024-07-01_108,,AM,True,R50D6,2024-07-01T06:19:23.970000,,,,,
,,,2024-07-01,,,Detection,,,0.5307790040969849,False,,2024-07-01T06:21:24.960000,2024-07-01_109,,AM,True,R50D6,2024-07-01T06:21:24.960000,,,,,
,,,2024-07-01,,,Detection,,,0.2706310153007507,False,,2024-07-01T06:29:12.120000,2024-07-01_110,,AM,True,R50D6,2024-07-01T06:29:12.120000,,,,,
,,,2024-07-01,,,Detection,,,0.4330527782440185,False,,2024-07-01T06:30:12.270000,2024-07-01_111,,AM,True,R50D6,2024-07-01T06:30:12.270000,,,,,
,,,2024-07-01,,,Detection,,,0.429361343383789,False,,2024-07-01T06:30:43.860000,2024-07-01_112,,AM,True,R50D6,2024-07-01T06:30:43.860000,,,,,
