s_predicted,mag,network,code,p_detected,s_confidence,epi_distance,catalogued,provider,depth,unique_id,long,time,detected,p_error,mag_type,p_confidence,s_detected,event_id,p_predicted,date,plot_path,s_error,lat
,,AM,R50D6,2024-08-23T02:27:35.970000,,,False,Detection,,2024-08-23_60,,2024-08-23T02:27:35.970000,True,,,0.1019733250141143,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:27:43.870000,,,False,Detection,,2024-08-23_61,,2024-08-23T02:27:43.870000,True,,,0.2445470988750457,,,,2024-08-23,,,
,,AM,R50D6,,,,False,Detection,,2024-08-23_62,,2024-08-23T02:27:46.680000,True,,,,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:37:52.760000,,,False,Detection,,2024-08-23_63,,2024-08-23T02:37:52.760000,True,,,0.3639522492885589,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:42:44.970000,,,False,Detection,,2024-08-23_64,,2024-08-23T02:42:44.970000,True,,,0.6905864477157593,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:43:10.140000,,,False,Detection,,2024-08-23_65,,2024-08-23T02:43:10.140000,True,,,0.6037183403968811,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:43:41.810000,,,False,Detection,,2024-08-23_66,,2024-08-23T02:43:41.810000,True,,,0.1193273812532424,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:43:44.590000,,,False,Detection,,2024-08-23_67,,2024-08-23T02:43:44.590000,True,,,0.3332608342170715,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:44:23.900000,,,False,Detection,,2024-08-23_68,,2024-08-23T02:44:23.900000,True,,,0.136650949716568,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:46:19.510000,,,False,Detection,,2024-08-23_69,,2024-08-23T02:46:19.510000,True,,,0.6843689680099487,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:48:51.010000,,,False,Detection,,2024-08-23_70,,2024-08-23T02:48:51.010000,True,,,0.2468079477548599,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:49:22.920000,,,False,Detection,,2024-08-23_71,,2024-08-23T02:49:22.920000,True,,,0.2497825771570205,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:55:38.150000,,,False,Detection,,2024-08-23_72,,2024-08-23T02:55:38.150000,True,,,0.24483522772789,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:57:58.470000,,,False,Detection,,2024-08-23_73,,2024-08-23T02:57:58.470000,True,,,0.4382400214672088,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:09:13.050000,,,False,Detection,,2024-08-23_74,,2024-08-23T03:09:13.050000,True,,,0.3329286873340606,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:12:54,,,False,Detection,,2024-08-23_75,,2024-08-23T03:12:54,True,,,0.2123234421014785,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:17:49.160000,,,False,Detection,,2024-08-23_76,,2024-08-23T03:17:49.160000,True,,,0.1084492430090904,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:28:06.130000,,,False,Detection,,2024-08-23_77,,2024-08-23T03:28:06.130000,True,,,0.4411213994026184,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:28:06.880000,,,False,Detection,,2024-08-23_78,,2024-08-23T03:28:06.880000,True,,,0.2099573463201522,,,,2024-08-23,,,
