detected,mag,network,date,p_error,long,s_detected,mag_type,depth,s_confidence,time,provider,event_id,p_predicted,code,s_error,epi_distance,p_confidence,s_predicted,catalogued,lat,unique_id,p_detected,plot_path
True,,AM,2024-08-23,,,,,,,2024-08-23T04:46:35,Detection,,,R50D6,,,0.2538714408874511,,False,,2024-08-23_76,2024-08-23T04:46:35,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:57:05.030000,Detection,,,R50D6,,,0.5560817122459412,,False,,2024-08-23_77,2024-08-23T04:57:05.030000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:58:40.010000,Detection,,,R50D6,,,0.8887987732887268,,False,,2024-08-23_78,2024-08-23T04:58:40.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:00:37.020000,Detection,,,R50D6,,,0.6365383267402649,,False,,2024-08-23_79,2024-08-23T05:00:37.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:05:21.060000,Detection,,,R50D6,,,0.5471760034561157,,False,,2024-08-23_80,2024-08-23T05:05:21.060000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:10:36.990000,Detection,,,R50D6,,,0.5975321531295776,,False,,2024-08-23_81,2024-08-23T05:10:36.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:13:06.880000,Detection,,,R50D6,,,0.4368100166320801,,False,,2024-08-23_82,2024-08-23T05:13:06.880000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:13:20.790000,Detection,,,R50D6,,,0.6004816889762878,,False,,2024-08-23_83,2024-08-23T05:13:20.790000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:13:49.600000,Detection,,,R50D6,,,0.4326925575733185,,False,,2024-08-23_84,2024-08-23T05:13:49.600000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:16:05.010000,Detection,,,R50D6,,,0.7988004684448242,,False,,2024-08-23_85,2024-08-23T05:16:05.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:20:52.900000,Detection,,,R50D6,,,0.2063779383897781,,False,,2024-08-23_86,2024-08-23T05:20:52.900000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:21:29.930000,Detection,,,R50D6,,,0.6184221506118774,,False,,2024-08-23_87,2024-08-23T05:21:29.930000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:27:16.010000,Detection,,,R50D6,,,0.2650030255317688,,False,,2024-08-23_88,2024-08-23T05:27:16.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:28:54.990000,Detection,,,R50D6,,,0.6015134453773499,,False,,2024-08-23_89,2024-08-23T05:28:54.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:28:55.470000,Detection,,,R50D6,,,0.4883177876472473,,False,,2024-08-23_90,2024-08-23T05:28:55.470000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:33:08.980000,Detection,,,R50D6,,,0.4207245409488678,,False,,2024-08-23_91,2024-08-23T05:33:08.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:33:09.960000,Detection,,,R50D6,,,0.4574576020240783,,False,,2024-08-23_92,2024-08-23T05:33:09.960000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:37:05.030000,Detection,,,R50D6,,,0.3698779642581939,,False,,2024-08-23_93,2024-08-23T05:37:05.030000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:38:45.890000,Detection,,,R50D6,,,0.2269347310066223,,False,,2024-08-23_94,2024-08-23T05:38:45.890000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:39:08.850000,Detection,,,R50D6,,,0.259004145860672,,False,,2024-08-23_95,2024-08-23T05:39:08.850000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:39:54.020000,Detection,,,R50D6,,,0.4672495126724243,,False,,2024-08-23_96,2024-08-23T05:39:54.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:40:52.510000,Detection,,,R50D6,,,0.4262879192829132,,False,,2024-08-23_97,2024-08-23T05:40:52.510000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:42:21.890000,Detection,,,R50D6,,,0.5336184501647949,,False,,2024-08-23_98,2024-08-23T05:42:21.890000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:44:38.010000,Detection,,,R50D6,,,0.7905741333961487,,False,,2024-08-23_99,2024-08-23T05:44:38.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:45:19.730000,Detection,,,R50D6,,,0.5410248041152954,,False,,2024-08-23_100,2024-08-23T05:45:19.730000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:45:20.530000,Detection,,,R50D6,,,,,False,,2024-08-23_101,,
