long,date,time,s_error,p_detected,unique_id,mag_type,s_confidence,catalogued,plot_path,p_error,lat,depth,event_id,s_detected,epi_distance,mag,s_predicted,code,detected,provider,p_confidence,p_predicted,network
,2024-08-23,2024-08-23T02:48:51.010000,,2024-08-23T02:48:51.010000,2024-08-23_46,,,False,,,,,,,,,,R50D6,True,Detection,0.2468079477548599,,AM
,2024-08-23,2024-08-23T02:49:22.920000,,2024-08-23T02:49:22.920000,2024-08-23_47,,,False,,,,,,,,,,R50D6,True,Detection,0.2497825771570205,,AM
,2024-08-23,2024-08-23T02:55:38.150000,,2024-08-23T02:55:38.150000,2024-08-23_48,,,False,,,,,,,,,,R50D6,True,Detection,0.24483522772789,,AM
,2024-08-23,2024-08-23T02:57:58.470000,,2024-08-23T02:57:58.470000,2024-08-23_49,,,False,,,,,,,,,,R50D6,True,Detection,0.4382400214672088,,AM
,2024-08-23,2024-08-23T03:09:13.050000,,2024-08-23T03:09:13.050000,2024-08-23_50,,,False,,,,,,,,,,R50D6,True,Detection,0.3329286873340606,,AM
,2024-08-23,2024-08-23T03:12:54,,2024-08-23T03:12:54,2024-08-23_51,,,False,,,,,,,,,,R50D6,True,Detection,0.2123234421014785,,AM
,2024-08-23,2024-08-23T03:28:06.130000,,2024-08-23T03:28:06.130000,2024-08-23_52,,,False,,,,,,,,,,R50D6,True,Detection,0.4411213994026184,,AM
,2024-08-23,2024-08-23T03:28:06.880000,,2024-08-23T03:28:06.880000,2024-08-23_53,,,False,,,,,,,,,,R50D6,True,Detection,0.2099573463201522,,AM
,2024-08-23,2024-08-23T03:29:35.980000,,2024-08-23T03:29:35.980000,2024-08-23_54,,,False,,,,,,,,,,R50D6,True,Detection,0.2440508306026458,,AM
,2024-08-23,2024-08-23T03:30:38.990000,,2024-08-23T03:30:38.990000,2024-08-23_55,,,False,,,,,,,,,,R50D6,True,Detection,0.2011410742998123,,AM
,2024-08-23,2024-08-23T03:40:23.150000,,2024-08-23T03:40:23.150000,2024-08-23_56,,,False,,,,,,,,,,R50D6,True,Detection,0.4785265028476715,,AM
,2024-08-23,2024-08-23T03:47:08.010000,,2024-08-23T03:47:08.010000,2024-08-23_57,,,False,,,,,,,,,,R50D6,True,Detection,0.5964372158050537,,AM
,2024-08-23,2024-08-23T03:58:10.030000,,2024-08-23T03:58:10.030000,2024-08-23_58,,,False,,,,,,,,,,R50D6,True,Detection,0.5290547609329224,,AM
,2024-08-23,2024-08-23T03:58:10.800000,,,2024-08-23_59,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T04:00:21.940000,,2024-08-23T04:00:21.940000,2024-08-23_60,,,False,,,,,,,,,,R50D6,True,Detection,0.3178092539310455,,AM
,2024-08-23,2024-08-23T04:19:20.970000,,2024-08-23T04:19:20.970000,2024-08-23_61,,,False,,,,,,,,,,R50D6,True,Detection,0.251569539308548,,AM
,2024-08-23,2024-08-23T04:19:52.030000,,2024-08-23T04:19:52.030000,2024-08-23_62,,,False,,,,,,,,,,R50D6,True,Detection,0.3936178088188171,,AM
,2024-08-23,2024-08-23T04:20:07.960000,,2024-08-23T04:20:07.960000,2024-08-23_63,,,False,,,,,,,,,,R50D6,True,Detection,0.2099191099405288,,AM
,2024-08-23,2024-08-23T04:23:07.980000,,2024-08-23T04:23:07.980000,2024-08-23_64,,,False,,,,,,,,,,R50D6,True,Detection,0.4944280087947845,,AM
,2024-08-23,2024-08-23T04:23:08.990000,,2024-08-23T04:23:08.990000,2024-08-23_65,,,False,,,,,,,,,,R50D6,True,Detection,0.2195190042257309,,AM
,2024-08-23,2024-08-23T04:24:52.060000,,2024-08-23T04:24:52.060000,2024-08-23_66,,,False,,,,,,,,,,R50D6,True,Detection,0.4952103495597839,,AM
,2024-08-23,2024-08-23T04:25:21.080000,,2024-08-23T04:25:21.080000,2024-08-23_67,,,False,,,,,,,,,,R50D6,True,Detection,0.7087300419807434,,AM
,2024-08-23,2024-08-23T04:28:21.960000,,2024-08-23T04:28:21.960000,2024-08-23_68,,,False,,,,,,,,,,R50D6,True,Detection,0.4522690176963806,,AM
,2024-08-23,2024-08-23T04:35:39.020000,,2024-08-23T04:35:39.020000,2024-08-23_69,,,False,,,,,,,,,,R50D6,True,Detection,0.732419490814209,,AM
,2024-08-23,2024-08-23T04:37:53.040000,,2024-08-23T04:37:53.040000,2024-08-23_70,,,False,,,,,,,,,,R50D6,True,Detection,0.5152786374092102,,AM
,2024-08-23,2024-08-23T04:38:11.090000,,2024-08-23T04:38:11.090000,2024-08-23_71,,,False,,,,,,,,,,R50D6,True,Detection,0.4000152349472046,,AM
,2024-08-23,2024-08-23T04:40:08.120000,,2024-08-23T04:40:08.120000,2024-08-23_72,,,False,,,,,,,,,,R50D6,True,Detection,0.7547982931137085,,AM
,2024-08-23,2024-08-23T04:40:38,,2024-08-23T04:40:38,2024-08-23_73,,,False,,,,,,,,,,R50D6,True,Detection,0.3040375113487243,,AM
,2024-08-23,2024-08-23T04:40:43.460000,,2024-08-23T04:40:43.460000,2024-08-23_74,,,False,,,,,,,,,,R50D6,True,Detection,0.4148608744144439,,AM
,2024-08-23,2024-08-23T04:46:06.980000,,2024-08-23T04:46:06.980000,2024-08-23_75,,,False,,,,,,,,,,R50D6,True,Detection,0.4495609700679779,,AM
,2024-08-23,2024-08-23T04:46:35,,2024-08-23T04:46:35,2024-08-23_76,,,False,,,,,,,,,,R50D6,True,Detection,0.2538714408874511,,AM
,2024-08-23,2024-08-23T04:57:05.030000,,2024-08-23T04:57:05.030000,2024-08-23_77,,,False,,,,,,,,,,R50D6,True,Detection,0.5560817122459412,,AM
,2024-08-23,2024-08-23T04:58:40.010000,,2024-08-23T04:58:40.010000,2024-08-23_78,,,False,,,,,,,,,,R50D6,True,Detection,0.8887987732887268,,AM
,2024-08-23,2024-08-23T05:00:37.020000,,2024-08-23T05:00:37.020000,2024-08-23_79,,,False,,,,,,,,,,R50D6,True,Detection,0.6365383267402649,,AM
,2024-08-23,2024-08-23T05:05:21.060000,,2024-08-23T05:05:21.060000,2024-08-23_80,,,False,,,,,,,,,,R50D6,True,Detection,0.5471760034561157,,AM
,2024-08-23,2024-08-23T05:10:36.990000,,2024-08-23T05:10:36.990000,2024-08-23_81,,,False,,,,,,,,,,R50D6,True,Detection,0.5975321531295776,,AM
,2024-08-23,2024-08-23T05:13:06.880000,,2024-08-23T05:13:06.880000,2024-08-23_82,,,False,,,,,,,,,,R50D6,True,Detection,0.4368100166320801,,AM
,2024-08-23,2024-08-23T05:13:20.790000,,2024-08-23T05:13:20.790000,2024-08-23_83,,,False,,,,,,,,,,R50D6,True,Detection,0.6004816889762878,,AM
,2024-08-23,2024-08-23T05:13:49.600000,,2024-08-23T05:13:49.600000,2024-08-23_84,,,False,,,,,,,,,,R50D6,True,Detection,0.4326925575733185,,AM
,2024-08-23,2024-08-23T05:16:05.010000,,2024-08-23T05:16:05.010000,2024-08-23_85,,,False,,,,,,,,,,R50D6,True,Detection,0.7988004684448242,,AM
,2024-08-23,2024-08-23T05:20:52.900000,,2024-08-23T05:20:52.900000,2024-08-23_86,,,False,,,,,,,,,,R50D6,True,Detection,0.2063779383897781,,AM
,2024-08-23,2024-08-23T05:21:29.930000,,2024-08-23T05:21:29.930000,2024-08-23_87,,,False,,,,,,,,,,R50D6,True,Detection,0.6184221506118774,,AM
,2024-08-23,2024-08-23T05:27:16.010000,,2024-08-23T05:27:16.010000,2024-08-23_88,,,False,,,,,,,,,,R50D6,True,Detection,0.2650030255317688,,AM
,2024-08-23,2024-08-23T05:28:54.990000,,2024-08-23T05:28:54.990000,2024-08-23_89,,,False,,,,,,,,,,R50D6,True,Detection,0.6015134453773499,,AM
,2024-08-23,2024-08-23T05:28:55.470000,,2024-08-23T05:28:55.470000,2024-08-23_90,,,False,,,,,,,,,,R50D6,True,Detection,0.4883177876472473,,AM
,2024-08-23,2024-08-23T05:33:08.980000,,2024-08-23T05:33:08.980000,2024-08-23_91,,,False,,,,,,,,,,R50D6,True,Detection,0.4207245409488678,,AM
,2024-08-23,2024-08-23T05:33:09.960000,,2024-08-23T05:33:09.960000,2024-08-23_92,,,False,,,,,,,,,,R50D6,True,Detection,0.4574576020240783,,AM
,2024-08-23,2024-08-23T05:37:05.030000,,2024-08-23T05:37:05.030000,2024-08-23_93,,,False,,,,,,,,,,R50D6,True,Detection,0.3698779642581939,,AM
,2024-08-23,2024-08-23T05:38:45.890000,,2024-08-23T05:38:45.890000,2024-08-23_94,,,False,,,,,,,,,,R50D6,True,Detection,0.2269347310066223,,AM
,2024-08-23,2024-08-23T05:39:08.850000,,2024-08-23T05:39:08.850000,2024-08-23_95,,,False,,,,,,,,,,R50D6,True,Detection,0.259004145860672,,AM
,2024-08-23,2024-08-23T05:39:54.020000,,2024-08-23T05:39:54.020000,2024-08-23_96,,,False,,,,,,,,,,R50D6,True,Detection,0.4672495126724243,,AM
,2024-08-23,2024-08-23T05:40:52.510000,,2024-08-23T05:40:52.510000,2024-08-23_97,,,False,,,,,,,,,,R50D6,True,Detection,0.4262879192829132,,AM
,2024-08-23,2024-08-23T05:42:21.890000,,2024-08-23T05:42:21.890000,2024-08-23_98,,,False,,,,,,,,,,R50D6,True,Detection,0.5336184501647949,,AM
,2024-08-23,2024-08-23T05:44:38.010000,,2024-08-23T05:44:38.010000,2024-08-23_99,,,False,,,,,,,,,,R50D6,True,Detection,0.7905741333961487,,AM
,2024-08-23,2024-08-23T05:45:19.730000,,2024-08-23T05:45:19.730000,2024-08-23_100,,,False,,,,,,,,,,R50D6,True,Detection,0.5410248041152954,,AM
