p_detected,s_error,s_confidence,date,code,s_predicted,depth,long,event_id,network,mag,lat,s_detected,time,unique_id,plot_path,mag_type,catalogued,p_confidence,epi_distance,detected,provider,p_error,p_predicted
2024-07-01T05:36:40.980000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:36:40.980000,2024-07-01_89,,,False,0.6039586067199707,,True,Detection,,
2024-07-01T05:36:42,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:36:42,2024-07-01_90,,,False,0.2519878447055816,,True,Detection,,
2024-07-01T05:37:00.620000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:37:00.620000,2024-07-01_91,,,False,0.4805138409137726,,True,Detection,,
2024-07-01T05:38:05.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:38:05.010000,2024-07-01_92,,,False,0.5479295253753662,,True,Detection,,
2024-07-01T05:38:06,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:38:06,2024-07-01_93,,,False,0.2859249413013458,,True,Detection,,
2024-07-01T05:45:56.870000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:45:56.870000,2024-07-01_94,,,False,0.8665628433227539,,True,Detection,,
,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:45:57.470000,2024-07-01_95,,,False,,,True,Detection,,
2024-07-01T05:51:41.020000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:51:41.020000,2024-07-01_96,,,False,0.7970812320709229,,True,Detection,,
2024-07-01T05:52:21.040000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:52:21.040000,2024-07-01_97,,,False,0.6428237557411194,,True,Detection,,
2024-07-01T05:53:57.170000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:53:57.170000,2024-07-01_98,,,False,0.2295851558446884,,True,Detection,,
2024-07-01T06:03:44.810000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:03:44.810000,2024-07-01_99,,,False,0.8011968731880188,,True,Detection,,
2024-07-01T06:03:54.340000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:03:54.340000,2024-07-01_100,,,False,0.273873895406723,,True,Detection,,
2024-07-01T06:04:55.660000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:04:55.660000,2024-07-01_101,,,False,0.85223788022995,,True,Detection,,
,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:04:56.150000,2024-07-01_102,,,False,,,True,Detection,,
2024-07-01T06:05:06.960000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:05:06.960000,2024-07-01_103,,,False,0.7626150846481323,,True,Detection,,
2024-07-01T06:12:19.050000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:12:19.050000,2024-07-01_104,,,False,0.7218387722969055,,True,Detection,,
2024-07-01T06:14:38,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:14:38,2024-07-01_105,,,False,0.8745260834693909,,True,Detection,,
2024-07-01T06:15:50.980000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:15:50.980000,2024-07-01_106,,,False,0.5671077370643616,,True,Detection,,
2024-07-01T06:17:35.040000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:17:35.040000,2024-07-01_107,,,False,0.3195580840110779,,True,Detection,,
2024-07-01T06:19:23.970000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:19:23.970000,2024-07-01_108,,,False,0.8857235312461853,,True,Detection,,
2024-07-01T06:21:24.960000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:21:24.960000,2024-07-01_109,,,False,0.5307790040969849,,True,Detection,,
2024-07-01T06:29:12.120000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:29:12.120000,2024-07-01_110,,,False,0.2706310153007507,,True,Detection,,
2024-07-01T06:30:12.270000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:30:12.270000,2024-07-01_111,,,False,0.4330527782440185,,True,Detection,,
2024-07-01T06:30:43.860000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:30:43.860000,2024-07-01_112,,,False,0.429361343383789,,True,Detection,,
2024-07-01T06:31:19.880000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:31:19.880000,2024-07-01_113,,,False,0.2013126462697982,,True,Detection,,
2024-07-01T06:38:07.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:38:07.010000,2024-07-01_114,,,False,0.481015145778656,,True,Detection,,
2024-07-01T06:39:19.130000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T06:39:19.130000,2024-07-01_115,,,False,0.2457456141710281,,True,Detection,,
