s_detected,event_id,mag,provider,s_error,lat,date,long,p_detected,s_predicted,depth,s_confidence,p_confidence,p_error,code,time,network,unique_id,epi_distance,catalogued,detected,mag_type,plot_path,p_predicted
,,,Detection,,,2024-08-16,,2024-08-16T02:10:03.130000,,,,0.1670342087745666,,R50D6,2024-08-16T02:10:03.130000,AM,2024-08-16_55,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:10:17.210000,,,,0.1090469807386398,,R50D6,2024-08-16T02:10:17.210000,AM,2024-08-16_56,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:10:34.770000,,,,0.1695202887058258,,R50D6,2024-08-16T02:10:34.770000,AM,2024-08-16_57,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:16:54.930000,,,,0.1101827397942543,,R50D6,2024-08-16T02:16:54.930000,AM,2024-08-16_58,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:18:21,,,,0.7007687091827393,,R50D6,2024-08-16T02:18:21,AM,2024-08-16_59,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:19:10.790000,,,,0.4816207885742187,,R50D6,2024-08-16T02:19:10.790000,AM,2024-08-16_60,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:20:05.110000,,,,0.1352528184652328,,R50D6,2024-08-16T02:20:05.110000,AM,2024-08-16_61,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:20:06.110000,,,,0.113911859691143,,R50D6,2024-08-16T02:20:06.110000,AM,2024-08-16_62,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:22:55.200000,,,,0.1453984379768371,,R50D6,2024-08-16T02:22:55.200000,AM,2024-08-16_63,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:23:09.990000,,,,0.1750281304121017,,R50D6,2024-08-16T02:23:09.990000,AM,2024-08-16_64,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:24:50.200000,,,,0.1172212958335876,,R50D6,2024-08-16T02:24:50.200000,AM,2024-08-16_65,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:25:15.420000,,,,0.715854823589325,,R50D6,2024-08-16T02:25:15.420000,AM,2024-08-16_66,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:28:23.060000,,,,0.2207275629043579,,R50D6,2024-08-16T02:28:23.060000,AM,2024-08-16_67,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:30:14.170000,,,,0.2267519831657409,,R50D6,2024-08-16T02:30:14.170000,AM,2024-08-16_68,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:34:20.180000,,,,0.1144541949033737,,R50D6,2024-08-16T02:34:20.180000,AM,2024-08-16_69,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:34:53.100000,,,,0.2072641104459762,,R50D6,2024-08-16T02:34:53.100000,AM,2024-08-16_70,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:37:21.070000,,,,0.4953249990940094,,R50D6,2024-08-16T02:37:21.070000,AM,2024-08-16_71,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:39:03.330000,,,,0.4290502667427063,,R50D6,2024-08-16T02:39:03.330000,AM,2024-08-16_72,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:42:05.010000,,,,0.6652966141700745,,R50D6,2024-08-16T02:42:05.010000,AM,2024-08-16_73,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:43:23.060000,,,,0.2302095592021942,,R50D6,2024-08-16T02:43:23.060000,AM,2024-08-16_74,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:46:45.080000,,,,0.1806820631027221,,R50D6,2024-08-16T02:46:45.080000,AM,2024-08-16_75,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:47:07.700000,,,,0.1269774287939071,,R50D6,2024-08-16T02:47:07.700000,AM,2024-08-16_76,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:47:51.060000,,,,0.1149343028664588,,R50D6,2024-08-16T02:47:51.060000,AM,2024-08-16_77,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:49:58.480000,,,,0.3295401632785797,,R50D6,2024-08-16T02:49:58.480000,AM,2024-08-16_78,,False,True,,,
,,,Detection,,,2024-08-16,,,,,,,,R50D6,2024-08-16T02:49:59.220000,AM,2024-08-16_79,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:50:20.960000,,,,0.1405576765537262,,R50D6,2024-08-16T02:50:20.960000,AM,2024-08-16_80,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:50:23.020000,,,,0.2463677823543548,,R50D6,2024-08-16T02:50:23.020000,AM,2024-08-16_81,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:50:24.020000,,,,0.5754677057266235,,R50D6,2024-08-16T02:50:24.020000,AM,2024-08-16_82,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:55:21.890000,,,,0.5272764563560486,,R50D6,2024-08-16T02:55:21.890000,AM,2024-08-16_83,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:56:33.440000,,,,0.1664749681949615,,R50D6,2024-08-16T02:56:33.440000,AM,2024-08-16_84,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:59:36.010000,,,,0.8538590669631958,,R50D6,2024-08-16T02:59:36.010000,AM,2024-08-16_85,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:10:08.020000,,,,0.8847710490226746,,R50D6,2024-08-16T03:10:08.020000,AM,2024-08-16_86,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:14:51.030000,,,,0.1443473696708679,,R50D6,2024-08-16T03:14:51.030000,AM,2024-08-16_87,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:17:33.040000,,,,0.2339030653238296,,R50D6,2024-08-16T03:17:33.040000,AM,2024-08-16_88,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:17:35.010000,,,,0.1143184602260589,,R50D6,2024-08-16T03:17:35.010000,AM,2024-08-16_89,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:17:36.010000,,,,0.6520369052886963,,R50D6,2024-08-16T03:17:36.010000,AM,2024-08-16_90,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:24:05,,,,0.3580527901649475,,R50D6,2024-08-16T03:24:05,AM,2024-08-16_91,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:31:36,,,,0.7907517552375793,,R50D6,2024-08-16T03:31:36,AM,2024-08-16_92,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:35:19.920000,,,,0.5014882683753967,,R50D6,2024-08-16T03:35:19.920000,AM,2024-08-16_93,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:35:50.970000,,,,0.3899284303188324,,R50D6,2024-08-16T03:35:50.970000,AM,2024-08-16_94,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:36:20.590000,,,,0.2695637047290802,,R50D6,2024-08-16T03:36:20.590000,AM,2024-08-16_95,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:39:03.930000,,,,0.1096801832318306,,R50D6,2024-08-16T03:39:03.930000,AM,2024-08-16_96,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:39:05,,,,0.4692564308643341,,R50D6,2024-08-16T03:39:05,AM,2024-08-16_97,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:39:05.900000,,,,0.1718849688768386,,R50D6,2024-08-16T03:39:05.900000,AM,2024-08-16_98,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:42:22.200000,,,,0.3275494575500488,,R50D6,2024-08-16T03:42:22.200000,AM,2024-08-16_99,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:42:23.090000,,,,0.1098176464438438,,R50D6,2024-08-16T03:42:23.090000,AM,2024-08-16_100,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:42:50.890000,,,,0.2682595252990722,,R50D6,2024-08-16T03:42:50.890000,AM,2024-08-16_101,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T03:56:48.710000,,,,0.1242744252085685,,R50D6,2024-08-16T03:56:48.710000,AM,2024-08-16_102,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:08:19.120000,,,,0.1009323671460151,,R50D6,2024-08-16T04:08:19.120000,AM,2024-08-16_103,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:09:18.960000,,,,0.2618303298950195,,R50D6,2024-08-16T04:09:18.960000,AM,2024-08-16_104,,False,True,,,
