unique_id,detected,s_predicted,network,event_id,lat,plot_path,depth,mag,code,s_confidence,date,s_detected,mag_type,p_detected,long,s_error,catalogued,time,p_error,provider,p_confidence,p_predicted,epi_distance
2024-08-23_72,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:50:01.380000,,,False,2024-08-23T06:50:01.380000,,Detection,0.6594699621200562,,
2024-08-23_73,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:52:09.990000,,,False,2024-08-23T06:52:09.990000,,Detection,0.8109593987464905,,
2024-08-23_74,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:57:06,,,False,2024-08-23T06:57:06,,Detection,0.7985036373138428,,
2024-08-23_75,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:00:10.990000,,,False,2024-08-23T07:00:10.990000,,Detection,0.7081609964370728,,
2024-08-23_76,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:02:02.590000,,,False,2024-08-23T07:02:02.590000,,Detection,0.5623379945755005,,
2024-08-23_77,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T07:02:03.020000,,Detection,,,
2024-08-23_78,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:02:49.590000,,,False,2024-08-23T07:02:49.590000,,Detection,0.5542346239089966,,
2024-08-23_79,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:10:06,,,False,2024-08-23T07:10:06,,Detection,0.7664240598678589,,
2024-08-23_80,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:11:40.960000,,,False,2024-08-23T07:11:40.960000,,Detection,0.5179840326309204,,
2024-08-23_81,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:18:07,,,False,2024-08-23T07:18:07,,Detection,0.9059341549873352,,
2024-08-23_82,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:21:39.010000,,,False,2024-08-23T07:21:39.010000,,Detection,0.5887452960014343,,
2024-08-23_83,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:22:21.900000,,,False,2024-08-23T07:22:21.900000,,Detection,0.6602596640586853,,
2024-08-23_84,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:26:37.060000,,,False,2024-08-23T07:26:37.060000,,Detection,0.5764635801315308,,
2024-08-23_85,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:29:37.990000,,,False,2024-08-23T07:29:37.990000,,Detection,0.8030022382736206,,
2024-08-23_86,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:34:11,,,False,2024-08-23T07:34:11,,Detection,0.5414776802062988,,
2024-08-23_87,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T07:46:32.360000,,Detection,,,
2024-08-23_88,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:51:11,,,False,2024-08-23T07:51:11,,Detection,0.5334553122520447,,
2024-08-23_89,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:58:21,,,False,2024-08-23T07:58:21,,Detection,0.8188955783843994,,
2024-08-23_90,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T07:58:42,,Detection,,,
2024-08-23_91,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T07:59:02.230000,,,False,2024-08-23T07:59:02.230000,,Detection,0.6786332726478577,,
2024-08-23_92,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T07:59:02.840000,,Detection,,,
2024-08-23_93,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:00:40,,,False,2024-08-23T08:00:40,,Detection,0.5945373773574829,,
2024-08-23_94,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:01:52.040000,,,False,2024-08-23T08:01:52.040000,,Detection,0.6757957935333252,,
2024-08-23_95,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:04:05.090000,,Detection,,,
2024-08-23_96,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:08:51.030000,,,False,2024-08-23T08:08:51.030000,,Detection,0.7956579327583313,,
2024-08-23_97,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:15:05,,,False,2024-08-23T08:15:05,,Detection,0.7631139159202576,,
2024-08-23_98,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:15:05.420000,,Detection,,,
2024-08-23_99,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:17:40.960000,,,False,2024-08-23T08:17:40.960000,,Detection,0.8588903546333313,,
2024-08-23_100,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:17:41.300000,,Detection,,,
2024-08-23_101,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:24:36,,,False,2024-08-23T08:24:36,,Detection,0.873375654220581,,
2024-08-23_102,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:24:36.660000,,Detection,,,
2024-08-23_103,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:24:57.130000,,,False,2024-08-23T08:24:57.130000,,Detection,0.5446658134460449,,
