unique_id,p_error,network,s_confidence,p_predicted,p_detected,s_predicted,code,lat,plot_path,epi_distance,mag_type,provider,p_confidence,detected,catalogued,s_error,long,date,time,s_detected,mag,event_id,depth
2024-08-24_70,,AM,,2024-08-24T20:26:36.617077,,2024-08-24T20:30:22.214345,R50D6,35.4464,,2153.138760656854,ml,EMSC,,False,True,,-3.4523,2024-08-24,2024-08-24T20:22:02.880000,,1.7,quakeml:eu.emsc/event/20240824_0000235,21.8
2024-08-24_71,,AM,,2024-08-24T20:18:20.401199,,2024-08-24T20:28:13.244023,R50D6,12.87,,8610.308383234715,m,EMSC,,False,True,,-87.93,2024-08-24,2024-08-24T20:06:23,,2.9,quakeml:eu.emsc/event/20240824_0000226,205.0
2024-08-24_72,,AM,,2024-08-24T20:07:03.139251,,2024-08-24T20:10:06.306553,R50D6,39.465,,1704.2485307338693,ml,EMSC,,False,True,,-0.235,2024-08-24,2024-08-24T20:03:20.540000,,1.7,quakeml:eu.emsc/event/20240824_0000232,4.3
2024-08-24_73,,AM,,2024-08-24T20:04:11.640609,,2024-08-24T20:08:28.799474,R50D6,40.29,,2485.702280398257,ml,EMSC,,False,True,,24.1,2024-08-24,2024-08-24T19:59:08.900000,,2.0,quakeml:eu.emsc/event/20240824_0000224,10.0
2024-08-24_74,,AM,,2024-08-24T19:59:27.847927,,2024-08-24T20:03:45.311380,R50D6,40.2827,,2488.091899921836,ml,EMSC,,False,True,,24.1319,2024-08-24,2024-08-24T19:54:24.900113,,4.3,quakeml:eu.emsc/event/20240824_0000222,13.8
2024-08-24_75,13.495519,AM,,2024-08-24T19:16:12.994481,2024-08-24T19:16:26.490000,2024-08-24T19:21:21.281122,R50D6,38.0103,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_75_event_plot.png?raw=true,3464.347595988758,ml,EMSC,0.1111460179090499,True,True,,37.5342,2024-08-24,2024-08-24T19:09:52,,1.6,quakeml:eu.emsc/event/20240824_0000215,7.0
2024-08-24_76,,AM,,2024-08-24T19:21:10.273975,,2024-08-24T19:31:12.388698,R50D6,15.45,,8805.631352502107,m,EMSC,,False,True,,-94.66,2024-08-24,2024-08-24T19:09:03,,3.3,quakeml:eu.emsc/event/20240824_0000278,16.8
2024-08-24_77,,AM,,2024-08-24T19:13:16.255261,,2024-08-24T19:18:25.594092,R50D6,37.2262,,3481.911809017254,ml,EMSC,,False,True,,36.7997,2024-08-24,2024-08-24T19:06:53.900000,,2.1,quakeml:eu.emsc/event/20240824_0000211,7.2
2024-08-24_78,,AM,,2024-08-24T19:09:48.964359,,2024-08-24T19:18:24.195855,R50D6,18.39,,7055.761349298307,m,EMSC,,False,True,,-71.34,2024-08-24,2024-08-24T18:59:17,,3.6,quakeml:eu.emsc/event/20240824_0000209,10.0
2024-08-24_79,-5.891833,AM,,2024-08-24T18:57:03.801833,2024-08-24T18:56:57.910000,2024-08-24T19:02:08.077182,R50D6,37.8075,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_79_event_plot.png?raw=true,3399.209487988478,ml,EMSC,0.848132848739624,True,True,,36.2092,2024-08-24,2024-08-24T18:50:48,,1.2,quakeml:eu.emsc/event/20240824_0000212,7.2
