depth,s_predicted,date,p_detected,s_error,network,detected,catalogued,epi_distance,provider,s_confidence,long,p_predicted,p_confidence,lat,time,code,p_error,mag,event_id,s_detected,plot_path,mag_type,unique_id
,,2024-08-23,2024-08-23T08:24:57.130000,,AM,True,False,,Detection,,,,0.5446658134460449,,2024-08-23T08:24:57.130000,R50D6,,,,,,,2024-08-23_103
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:24:57.940000,R50D6,,,,,,,2024-08-23_104
,,2024-08-23,2024-08-23T08:29:05.010000,,AM,True,False,,Detection,,,,0.7137696743011475,,2024-08-23T08:29:05.010000,R50D6,,,,,,,2024-08-23_105
,,2024-08-23,2024-08-23T08:30:35,,AM,True,False,,Detection,,,,0.801159679889679,,2024-08-23T08:30:35,R50D6,,,,,,,2024-08-23_106
,,2024-08-23,2024-08-23T08:36:07.030000,,AM,True,False,,Detection,,,,0.5466753244400024,,2024-08-23T08:36:07.030000,R50D6,,,,,,,2024-08-23_107
,,2024-08-23,2024-08-23T08:37:42.010000,,AM,True,False,,Detection,,,,0.8034825921058655,,2024-08-23T08:37:42.010000,R50D6,,,,,,,2024-08-23_108
,,2024-08-23,2024-08-23T08:38:05.170000,,AM,True,False,,Detection,,,,0.728078305721283,,2024-08-23T08:38:05.170000,R50D6,,,,,,,2024-08-23_109
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:38:05.660000,R50D6,,,,,,,2024-08-23_110
,,2024-08-23,2024-08-23T08:43:37.980000,,AM,True,False,,Detection,,,,0.6717034578323364,,2024-08-23T08:43:37.980000,R50D6,,,,,,,2024-08-23_111
,,2024-08-23,2024-08-23T08:45:50.970000,,AM,True,False,,Detection,,,,0.6927245259284973,,2024-08-23T08:45:50.970000,R50D6,,,,,,,2024-08-23_112
,,2024-08-23,2024-08-23T08:46:18.820000,,AM,True,False,,Detection,,,,0.5761368870735168,,2024-08-23T08:46:18.820000,R50D6,,,,,,,2024-08-23_113
,,2024-08-23,2024-08-23T08:47:05.020000,,AM,True,False,,Detection,,,,0.7895296216011047,,2024-08-23T08:47:05.020000,R50D6,,,,,,,2024-08-23_114
,,2024-08-23,2024-08-23T08:47:28.360000,,AM,True,False,,Detection,,,,0.6361194849014282,,2024-08-23T08:47:28.360000,R50D6,,,,,,,2024-08-23_115
,,2024-08-23,2024-08-23T08:57:05.010000,,AM,True,False,,Detection,,,,0.7622516751289368,,2024-08-23T08:57:05.010000,R50D6,,,,,,,2024-08-23_116
,,2024-08-23,2024-08-23T08:59:26.680000,,AM,True,False,,Detection,,,,0.6870154142379761,,2024-08-23T08:59:26.680000,R50D6,,,,,,,2024-08-23_117
,,2024-08-23,2024-08-23T09:06:42.770000,,AM,True,False,,Detection,,,,0.6980746388435364,,2024-08-23T09:06:42.770000,R50D6,,,,,,,2024-08-23_118
,,2024-08-23,2024-08-23T09:09:07.010000,,AM,True,False,,Detection,,,,0.602495014667511,,2024-08-23T09:09:07.010000,R50D6,,,,,,,2024-08-23_119
,,2024-08-23,2024-08-23T09:10:37,,AM,True,False,,Detection,,,,0.7247982621192932,,2024-08-23T09:10:37,R50D6,,,,,,,2024-08-23_120
,,2024-08-23,2024-08-23T09:11:07,,AM,True,False,,Detection,,,,0.7972590327262878,,2024-08-23T09:11:07,R50D6,,,,,,,2024-08-23_121
,,2024-08-23,2024-08-23T09:11:36.010000,,AM,True,False,,Detection,,,,0.5252987146377563,,2024-08-23T09:11:36.010000,R50D6,,,,,,,2024-08-23_122
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T09:12:40.200000,R50D6,,,,,,,2024-08-23_123
,,2024-08-23,2024-08-23T09:16:37.030000,,AM,True,False,,Detection,,,,0.7994953393936157,,2024-08-23T09:16:37.030000,R50D6,,,,,,,2024-08-23_124
,,2024-08-23,2024-08-23T09:20:06.990000,,AM,True,False,,Detection,,,,0.6563047766685486,,2024-08-23T09:20:06.990000,R50D6,,,,,,,2024-08-23_125
,,2024-08-23,2024-08-23T09:23:40.690000,,AM,True,False,,Detection,,,,0.7954661846160889,,2024-08-23T09:23:40.690000,R50D6,,,,,,,2024-08-23_126
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T09:23:41.310000,R50D6,,,,,,,2024-08-23_127
